,Business_name,Street_address,last_update_date
0,Savers,"135 Memorial Ave, West Springfield MA 01089",2025-08-06
1,Town of West Springfield Public Works Yard,"430 Westfield St, West Springfield MA 01089",2025-08-06
2,Town of Longmeadow Recycling and Yard Waste Center ,"Pondside Rd, Longmeadow MA 01106",2025-08-06
3,Town of West Springfield Household Hazardous Waste Collection Program,", West Springfield MA 01089",2025-08-06
4,West Springfield Department of Public Works,"26 Central St, West Springfield MA 01089",2025-08-06
5,Sprint Store,"1102 Riverdale St, West Springfield MA 01089",2025-08-06
6,Staples,"1129 Riverdale Street, West Springfield MA 01089",2025-08-06
7,Home Depot,"179 Daggett Dr, West Springfield MA 01089",2025-08-06
8,First Springfield SeventhDay Adventist Church,"1118 Sumner Avenue, Springfield MA 01118",2025-08-06
9,Staples,"433 North Main Street, East Longmeadow MA 01028",2025-08-06
